Timestamp,Device,Distance_82,Distance_83,X,Y
1720123559.8580828,Distance,0.62,0.66,0.47440000000000004,0.3991799594168023
1720123559.87241,Distance,0.62,0.6,0.5122,0.34935821158232416
1720123559.9817295,Distance,0.64,0.6,0.5247999999999999,0.3663126533441073
1720123559.994953,Distance,0.64,0.6,0.5247999999999999,0.3663126533441073
1720123560.1039307,Distance,0.64,0.6,0.5247999999999999,0.3663126533441073
1720123560.1178315,Distance,0.64,0.63,0.50635,0.3914200780491466
1720123560.2267983,Distance,0.61,0.63,0.48760000000000003,0.36653272705176
1720123560.2407987,Distance,0.61,0.64,0.48125,0.37483121201415437
1720123560.3501213,Distance,0.65,0.64,0.5064500000000001,0.4074412810455023
1720123560.3640893,Distance,0.65,0.68,0.48005,0.43823737574515487
1720123560.4734805,Distance,0.68,0.68,0.5,0.4608687448721166
1720123560.4864736,Distance,0.68,0.64,0.5264000000000001,0.4304683960524861
1720123560.5958655,Distance,0.83,0.64,0.6396499999999999,0.5289119751905793
1720123560.609886,Distance,0.83,0.65,0.6331999999999999,0.5366169583604306
1720123560.7184753,Distance,1.0,0.65,0.78875,0.6147141103797765
1720123560.7323666,Distance,1.0,0.61,0.81395,0.5809349339642091
1720123560.8420777,Distance,0.46,0.61,0.41975,0.18817528397746608
1720123560.8557756,Distance,0.46,0.6,0.4258,0.17405275062463108
1720123560.9648013,Distance,0.62,0.6,0.5122,0.34935821158232416
1720123560.97881,Distance,0.62,0.56,0.5354,0.3126449104015609
1720123561.087969,Distance,0.62,0.56,0.5354,0.3126449104015609
1720123561.101114,Distance,0.62,0.6,0.5122,0.34935821158232416
1720123561.2113261,Distance,0.8,0.6,0.6400000000000001,0.4799999999999998
1720123561.224336,Distance,0.8,0.59,0.64595,0.4719624958616945
1720123561.333973,Distance,0.61,0.59,0.512,0.3315961399051563
1720123561.347293,Distance,0.61,0.63,0.48760000000000003,0.36653272705176
1720123561.456654,Distance,0.61,0.63,0.48760000000000003,0.36653272705176
1720123561.4710834,Distance,0.61,0.62,0.49385,0.35806728068897886
1720123561.5806851,Distance,0.5,0.62,0.43279999999999996,0.25036804907974985
1720123561.593698,Distance,0.5,0.58,0.4568,0.2033070584116548
1720123561.7027905,Distance,0.53,0.58,0.47224999999999995,0.24058249624609035
1720123561.7169397,Distance,0.53,0.62,0.4482499999999999,0.2827931001633528
1720123561.8268666,Distance,0.65,0.62,0.51905,0.3912634630271526
1720123561.8400023,Distance,0.65,0.63,0.5128,0.3994197791797497
1720123561.94897,Distance,0.64,0.63,0.50635,0.3914200780491466
1720123561.9629655,Distance,0.64,0.56,0.5479999999999999,0.330599455534942
1720123562.3186326,Distance,0.97,0.56,0.81365,0.5280849150468133
1720123562.3317013,Distance,0.97,0.59,0.7964,0.5537572031134222
1720123562.440738,Distance,0.74,0.59,0.59975,0.4334742639419323
1720123562.4549618,Distance,0.74,0.67,0.54935,0.49579691154746014
1720123562.5640087,Distance,0.86,0.67,0.6453499999999999,0.568439422893944
1720123562.5774848,Distance,0.86,0.62,0.6775999999999999,0.5295830813007533
1720123562.687129,Distance,0.88,0.62,0.695,0.5397916264633976
1720123562.7001836,Distance,0.88,0.59,0.71315,0.5155745120736673
1720123562.8097358,Distance,0.87,0.59,0.7043999999999999,0.5106081080437326
1720123562.823679,Distance,0.87,0.61,0.6923999999999999,0.5267658303269112
1720123562.9325445,Distance,0.95,0.61,0.7651999999999999,0.5629999644760203
1720123562.9467473,Distance,0.95,0.63,0.7527999999999999,0.5794757630824606
1720123563.0559523,Distance,0.8,0.63,0.62155,0.5036621858944742
